id,source_ticker,target_ticker,relationship_type,raw_mention,context,ai_label,ai_reasoning,human_label,human_notes
311,GOSS,TENX,HAS_COMPETITOR,Tenax Therapeutics,"Additionally, although not approved for the treatment of PAH, we may face competition from formulations of imatinib, including those from Tenax Therapeutics, Aerovate Therapeutics and Aerami Therapeut",correct,"The raw mention exactly matches the corporate name “Tenax Therapeutics,” which is a distinctive biotech company name and aligns with the public issuer Tenax Therapeutics, Inc. (TENX). The surrounding context lists other specific biotech companies (Aerovate Therapeutics, Aerami Therapeutics) developing formulations of imatinib for pulmonary arterial hypertension (PAH), suggesting the mention is intended to identify specific corporate competitors rather than a generic term. Tenax Therapeutics operates in pulmonary hypertension-related indications, making the competitive framing plausible in a PAH drug-development discussion.",agree,
363,EVR,PJT,HAS_PARTNER,PJT Partners,"Our investment banking competitors can be categorized into two main groups: (1) large universal banks and bulge bracket firms such as Bank of America, Barclays, Citigroup, Deutsche Bank, Goldman Sachs",incorrect,"The raw mention ""PJT Partners"" would ordinarily refer to PJT Partners Inc. (ticker PJT), so the name-to-entity mapping is plausible. However, the provided context is a list of Evercore's investment banking competitors (large universal/bulge bracket banks), not a discussion of business partners. That makes the asserted relationship type HAS_PARTNER inconsistent with the surrounding text. Additionally, the snippet shown does not actually include ""PJT Partners"" among the competitors, raising further context support issues (possible truncation).",agree,
462,PXLW,AAPL,HAS_SUPPLIER,Apple Inc,"Potential and current competitors may include diversified semiconductor manufacturers and the semiconductor divisions or affiliates of some of our customers, including: Apple Inc., Broadcom Inc., LG E",incorrect,"The mention ""Apple Inc."" in the provided context appears in a list of ""current and potential competitors"" (""competitors may include ... affiliates of some of our customers, including: Apple Inc., Broadcom Inc., ...""). This supports identifying the entity as Apple Inc. (AAPL), but it does not support the relationship type HAS_SUPPLIER. Apple is being described as a competitor (or as an affiliate of a customer that competes), not as Pixelworks' supplier.",agree,
101,BBNX,DXCM,HAS_PARTNER,DexCom,"We have also partnered with DexCom, Inc.",correct,"The mention explicitly states “partnered with DexCom, Inc.” which directly corresponds to DexCom’s corporate name/brand spelling and is not a generic term. Dexcom (DXCM) is a well-known diabetes device company providing continuous glucose monitoring (CGM) systems, which are commonly integrated with insulin delivery/closed-loop pump systems like those developed by Beta Bionics. The context of a diabetes medical device company discussing partnerships strongly supports that this refers to Dexcom, Inc. (DXCM) rather than any other similarly named entity.",agree,
237,TTWO,GME,HAS_CUSTOMER,GameStop,"Our top customers include, among others, Sony, Microsoft, Steam, GameStop, and Epic.",correct,"The raw mention is the proper noun “GameStop” in a list of major videogame distribution/retail customers (Sony, Microsoft, Steam, GameStop, Epic). In the interactive entertainment industry, “GameStop” almost universally refers to GameStop Corp., the well-known U.S. videogame retailer (ticker GME). Take-Two distributes physical and digital titles through console platform holders and retailers, making GameStop a plausible customer. The surrounding context explicitly describes ‘top customers,’ which fits a retailer relationship rather than a competitor or unrelated entity. No red flags (not a generic term; not an ambiguous abbreviation; relationship type aligns with business reality).",agree,
22,CDW,PANW,HAS_SUPPLIER,Palo Alto Networks,"Partners

We provide more than 100,000 products and services from more than 1,000 vendor partners, including well-established companies such as Adobe, APC, Apple, Cisco, Dell EMC, Google, Hewlett Pack",correct,"The raw mention is the exact corporate name “Palo Alto Networks,” which uniquely identifies Palo Alto Networks, Inc. (PANW) in an IT/cybersecurity context. The surrounding text is a list of CDW’s “vendor partners” (e.g., Adobe, Apple, Cisco, Dell EMC, Google), which are well-known technology manufacturers/software publishers whose products CDW resells or integrates. Palo Alto Networks is a major cybersecurity vendor whose products are commonly distributed via channel partners like CDW, making the supplier/vendor relationship plausible and consistent with CDW’s business model. No contextual clues suggest another entity with the same name, and the mention is not a generic term or ambiguous abbreviation.",agree,
180,VERA,MA,HAS_SUPPLIER,MA,"Similar to the United States, both MA holders and manufacturers of medicinal products are subject to comprehensive regulatory oversight by the EMA, the European Commission and/or the competent regulat",incorrect,"The mention ""MA"" appears in a European pharmaceutical regulatory context alongside EMA and the European Commission: ""MA holders"" is standard shorthand for ""marketing authorization holders"" (i.e., companies holding an EU marketing authorization). It does not refer to Mastercard Inc. There is no contextual support for payments/financial services, and a HAS_SUPPLIER relationship is illogical here.",agree,
422,WELPP,WEC,HAS_SUPPLIER,WEC Energy Group,"By the end of 2030, WEC Energy Group expects to use coal as a backup fuel only and believes it will be in a position to eliminate coal as an energy source by the end of 2035.",incorrect,"The raw mention explicitly names “WEC Energy Group,” which is the parent holding company of Wisconsin Electric Power Company. In context, the sentence describes corporate-level fuel/coal strategy (“expects to use coal as a backup fuel only…”) consistent with a parent/enterprise plan, not a third-party supplier relationship. Therefore, while the entity name matches WEC Energy Group, the resolved relationship (HAS_SUPPLIER) is not supported and the match as framed is incorrect.",agree,
102,ITOX,GE,HAS_COMPETITOR,General Electric,"Some examples of large and small competitors
include, but are not limited to:

| · | General Electric with its GE Predix product for IoT;  |
|---|------------------------------------------------------",correct,"The mention explicitly says “General Electric with its GE Predix product for IoT,” which uniquely identifies General Electric Co. (GE) and its Predix industrial IoT platform. The surrounding text is a competitor list in an IoT context, consistent with GE being a competitor in industrial IoT/IIoT software platforms.",agree,
346,EVTC,FIS,HAS_CUSTOMER,Fidelity National Information Services,"In merchant acquiring, we compete with several other service providers and financial institutions that are either in our markets or represented through Independent Sales Organizations (“ISO”), includi",incorrect,"The raw mention ""Fidelity National Information Services"" clearly corresponds to Fidelity National Information Services, Inc. (FIS). However, the provided context is a competitive landscape statement (""we compete with several other service providers... including...""). That indicates FIS is being cited as a competitor/peer in merchant acquiring, not as a customer of EVERTEC. Therefore the entity match is plausible, but the asserted relationship type (HAS_CUSTOMER) is not supported by the text.",agree,
361,PXLW,LSCC,HAS_COMPETITOR,Lattice Semiconductor Corporation,"We also compete with specialized and diversified electronics and semiconductor companies that offer display processors or scaling components including: Actions Microelectronics Co., Ltd., ARM Holdings",correct,"The raw mention is the full legal name ""Lattice Semiconductor Corporation,"" which unambiguously matches the public company Lattice Semiconductor Corp (LSCC). The surrounding context is a list of competitors in the semiconductor/display processing/scaling space, and Lattice is explicitly included among those competitors. While Lattice is best known for programmable logic (FPGAs/CPLDs) rather than dedicated display processors, FPGAs can be used in video/display processing and Pixelworks may view Lattice as a competitive alternative in certain designs; the explicit naming in a competitor list supports the intended reference.",agree,
215,ACN,ORCL,HAS_COMPETITOR,Oracle,"Our strong ecosystem relationships provide a significant competitive advantage, and we are a key partner of a broad range of technology providers, including Adobe, Alibaba, Amazon Web Services, Blue Y",incorrect,"The raw mention ""Oracle"" in the context of a list of ""technology providers"" Accenture is a ""key partner"" of most naturally refers to Oracle Corporation (ORCL). However, the stated relationship HAS_COMPETITOR is not supported by the surrounding text; Oracle is being cited as part of Accenture’s partner ecosystem rather than as a competitor. Therefore the match-as-a-competitor resolution is incorrect.",agree,
313,MAN,KELYA,HAS_COMPETITOR,Kelly Services,"We also compete against a variety of regional or specialized companies such as Recruit Holdings, Kelly Services, Robert Half, Kforce, PageGroup, Korn/Ferry International and Alexander Mann.",correct,"The raw mention “Kelly Services” is the exact commonly used name of Kelly Services, Inc. The context lists it among other well-known staffing and workforce solutions firms (Recruit, Robert Half, Kforce, PageGroup, Korn/Ferry, Alexander Mann), which aligns with Kelly Services’ business. No ambiguity with a generic term or different entity is apparent here.",agree,
509,LXU,ASIX,HAS_SUPPLIER,Advansix,"See further discussion relating to the outlook for our business under “Key Industry Factors.”

Competition

We operate in a highly competitive market with many other larger chemical companies, such as",incorrect,"The raw mention “Advansix” is a close name match to AdvanSix Inc. (ASIX), and in an LSB Industries 10‑K it could plausibly refer to that public company. However, the provided context places the mention under a “Competition” section: “We operate in a highly competitive market with many other larger chemical companies, such as …” This framing indicates AdvanSix is being cited as a competitor/peer chemical producer, not as a supplier to LSB. Therefore the resolved entity may be right, but the asserted relationship type (HAS_SUPPLIER) is not supported by the context.",agree,
69,INTI,PFE,HAS_COMPETITOR,Pfizer,"The chart below lists products or products in development that we believe may compete directly with our proposed SUBA-Itraconazole therapy:

| Names                  | Company          | Description",correct,"The raw mention is the proper name ""Pfizer"" and appears in a competitor-products table with columns including ""Company,"" strongly indicating the mention refers to the pharmaceutical company Pfizer Inc. There are no contextual clues suggesting a different Pfizer-branded entity (e.g., a subsidiary with a different parent, a private company, or a non-pharma organization). In the context of a pharmaceutical developer describing competing products for a cancer therapy, Pfizer Inc. is a well-known developer/marketer of oncology and related therapeutics, making the competitor relationship plausible.",agree,
93,ALLO,AUTL,HAS_COMPETITOR,Autolus Therapeutics,"For example, we may experience competition in these markets from companies such as Adicet Bio, Inc., Atara Biotherapeutics, Inc., Autolus Therapeutics plc, BMS, Cabaletta Bio, Inc., Cartesian Therapeu",correct,"The raw mention explicitly names “Autolus Therapeutics plc” (also appears as “Autolus Therapeutics” in the excerpt), which is the full legal name of the public company Autolus Therapeutics plc (NASDAQ: AUTL). This is an unambiguous, near-exact name match.

Context supports the interpretation: the mention appears in a competitive landscape sentence listing other cell therapy / immuno-oncology companies (e.g., Adicet Bio, Atara, BMS, Cabaletta). Autolus operates in CAR/T-cell therapies for cancer/autoimmune diseases, directly overlapping with Allogene’s allogeneic T-cell focus. Listing it as a competitor is business-logically consistent.

No obvious red flags (not a generic term, not a ticker-symbol collision, and the inclusion of “plc” further disambiguates).",agree,
303,FDMT,BIIB,HAS_COMPETITOR,Biogen,"Certain of our competitors have commercially approved products for the treatment of the diseases that we are pursuing or may pursue in the future, including Biogen, Roche, Sanofi, Takeda and Vertex.",correct,"The raw mention is the proper name ""Biogen"" appearing in a list of named pharmaceutical companies described as competitors. Biogen is a well-known global biopharmaceutical company whose legal name is Biogen Inc. (ticker BIIB), and there is no indication the mention refers to a different entity (e.g., a division or unrelated company). The context explicitly frames these companies as competitors with commercially approved products in disease areas the filer is pursuing, which is consistent with Biogen’s presence in relevant therapeutic markets.",agree,
120,TSNDF,CGC,HAS_PARTNER,Canopy Growth Corporation,"To support its new strategy, TerrAscend entered into an agreement with Canopy Growth Corporation (“Canopy Growth”), RIV Capital Inc.",correct,"The raw mention explicitly names ""Canopy Growth Corporation"" and immediately defines it as “Canopy Growth,” which matches the target company Canopy Growth Corp (ticker CGC). The context describes TerrAscend entering into an agreement with Canopy Growth, which supports a partnership/strategic relationship rather than an unrelated use of the name. There are no red flags such as a generic term, acronym-only reference, or conflicting industry/context.",agree,
478,SCSC,ZBRA,HAS_SUPPLIER,Zebra Technologies,"Suppliers

We provide products and services from approximately 500 suppliers, including 8x8, ACC Business, AT&T, Aruba/HPE, Axis, AudioCodes, Avaya, Barco, Bematech, CenturyLink, Cisco, Comcast Busine",correct,"The raw mention “Zebra Technologies” in a list of suppliers strongly and unambiguously refers to Zebra Technologies Corporation (ZBRA), whose public-facing name is “Zebra Technologies.” The context is a supplier list of technology vendors (e.g., Cisco, Avaya, Aruba/HPE), consistent with Zebra being a major hardware/AIDC vendor commonly distributed through channel partners like ScanSource. No competing common meaning for “Zebra Technologies” appears in the snippet, and it is not a generic term or abbreviation.",agree,
45,USIO,V,HAS_PARTNER,Visa,"The cancellation of either contract, termination of their registration or any changes in the Visa, Mastercard or Discover rules that would impair the registration of our third-party processing provide",correct,"The mention appears in a payments/merchant processing compliance context: “changes in the Visa, Mastercard or Discover rules…”. In SEC filings, “Visa/Mastercard/Discover rules” commonly refers to the operating regulations of the major card networks. The capitalized brand name “Visa” alongside Mastercard and Discover strongly indicates the Visa payment network/brand, whose public parent is Visa Inc. There is no plausible alternative public company commonly referred to as “Visa” in this specific card-network-rules context.",agree,
354,MNST,CELH,HAS_COMPETITOR,Celsius Holdings,"For example, PepsiCo entered into a long-term strategic distribution arrangement with Celsius Holdings, Inc., a competitor in the energy drink space, in August 2022.",correct,"The raw mention explicitly names ""Celsius Holdings, Inc."" in full, matching the legal name of the public company with ticker CELH. The context identifies it as ""a competitor in the energy drink space,"" which aligns with Celsius’s functional/energy beverage business and Monster Beverage’s competitive landscape. The mention also references a well-known August 2022 PepsiCo distribution agreement with Celsius, further anchoring the identification to CELH and reducing ambiguity. No red flags such as generic wording or abbreviation-only references are present.",agree,
444,EOLS,MA,HAS_COMPETITOR,MA,"Under the above described procedures, before granting the MA, the EMA or the competent authorities of the Member States of the EEA make an assessment of the risk-benefit balance of the product on the",incorrect,"The raw mention ""MA"" appears in a European regulatory context alongside ""EMA"" and ""competent authorities"" and refers to a Marketing Authorization (MA) for a medicinal product, not to Mastercard Inc. There is no name match (Mastercard is typically abbreviated as 'MA' only as a stock ticker, not in narrative text), and the surrounding discussion is about EU/EEA product approval processes, unrelated to payments. Therefore the competitor relationship is unsupported and illogical.",agree,
159,INAB,ADAPY,HAS_COMPETITOR,Adaptimmune Therapeutics,"Our known competitors in the field of allogeneic and gamma-delta T cell therapy include Acepodia USA, Adaptimmune Therapeutics plc, Adicet Bio, Inc., Allogene Therapeutics, Inc., American Gene Technol",correct,"The raw mention explicitly names “Adaptimmune Therapeutics plc,” which directly matches the public company Adaptimmune Therapeutics PLC (ADAPY). There is no indication of another similarly named entity in this context, and the spelling/PLC suffix aligns with the issuer’s legal name.",agree,
378,CLDX,MA,HAS_COMPETITOR,MA,"Before
granting the MA, the European Medicines Agency or the competent authorities of the member states of the EEA make an assessment of the risk-benefit balance of the product on the
basis of scienti",incorrect,"The raw mention ""MA"" appears in a regulatory/clinical context: ""Before granting the MA, the European Medicines Agency... make an assessment of the risk-benefit balance of the product"". In EU pharmaceutical regulation, ""MA"" is the standard abbreviation for ""Marketing Authorization"". There is no indication this refers to Mastercard Inc., and Celldex (a biopharma) would not describe Mastercard as a competitor in this context.",agree,
58,OSS,AVGO,HAS_CUSTOMER,Broadcom,"We apply the component technology provided by Intel, AMD, NVIDIA, Micron, Broadcom, and others to deliver solutions to provide true value to our customers.",incorrect,"The raw mention ""Broadcom"" in the sentence is part of a list of semiconductor/component technology providers (Intel, AMD, NVIDIA, Micron, Broadcom, etc.). The context explicitly says OSS applies the component technology provided by these firms, which describes suppliers/technology vendors, not customers. While ""Broadcom"" likely refers to Broadcom Inc. (AVGO) as the well-known semiconductor company, the asserted relationship type (HAS_CUSTOMER) is not supported by the text, making this match incorrect in this labeling task.",agree,
